program,success,attempts,time_seconds,passed,total
bitcount,True,1,1.24,9,9
bucketsort,True,1,5.32,7,7
find_first_in_sorted,True,1,5.12,7,7
find_in_sorted,True,1,5.22,7,7
flatten,True,1,5.2,7,7
gcd,True,1,7.13,6,6
get_factors,True,1,4.96,11,11
hanoi,False,1,6.04,1,8
is_valid_parenthesization,True,1,5.34,3,3
kheapsort,True,1,5.83,4,4
knapsack,False,1,10.19,9,10
kth,True,1,7.71,7,7
lcs_length,False,1,7.63,5,9
levenshtein,False,1,11.81,6,7
lis,True,1,2.99,12,12
longest_common_subsequence,False,1,5.33,7,10
max_sublist_sum,True,1,5.26,6,6
mergesort,True,1,5.69,14,14
next_palindrome,True,1,5.33,5,5
next_permutation,True,1,5.94,8,8
pascal,True,1,5.14,5,5
possible_change,True,1,5.71,10,10
powerset,True,1,4.41,5,5
quicksort,True,1,9.59,13,13
rpn_eval,True,1,7.48,6,6
shunting_yard,True,1,5.75,6,6
sieve,True,1,5.0,6,6
sqrt,False,1,5.75,5,7
subsequences,False,1,5.67,4,12
to_base,True,1,6.51,10,10
wrap,False,1,5.09,0,5
