program,success,attempts,time_seconds,error_type
bitcount,True,1,55.08,InfiniteLoop
bucketsort,True,1,35.29,WrongOutput
find_first_in_sorted,True,1,47.14,IndexError
find_in_sorted,True,1,38.86,RuntimeError
flatten,True,1,75.92,WrongOutput
gcd,True,1,47.17,RuntimeError
get_factors,True,1,47.78,WrongOutput
hanoi,False,3,120.36,WrongOutput
is_valid_parenthesization,True,1,38.38,WrongOutput
kheapsort,True,1,44.7,WrongOutput
knapsack,False,3,163.99,WrongOutput
kth,True,1,48.42,IndexError
lcs_length,True,1,56.42,WrongOutput
levenshtein,True,2,127.46,WrongOutput
lis,True,1,68.42,WrongOutput
longest_common_subsequence,True,1,77.83,WrongOutput
max_sublist_sum,True,1,62.84,WrongOutput
mergesort,True,1,380.05,RuntimeError
next_palindrome,False,3,226.47,WrongOutput
next_permutation,True,1,76.53,WrongOutput
pascal,True,1,147.38,IndexError
possible_change,True,1,87.16,ValueError
powerset,True,1,75.87,WrongOutput
quicksort,True,1,84.96,WrongOutput
rpn_eval,True,1,85.1,WrongOutput
shunting_yard,True,1,109.8,WrongOutput
sieve,True,1,27.51,WrongOutput
sqrt,False,3,189.13,InfiniteLoop
subsequences,False,3,269.58,WrongOutput
to_base,False,3,173.72,WrongOutput
wrap,False,3,478.28,WrongOutput
